sessionId,moduleCode,day,start,end,roomId,lecturerId,groupId
39,CS4242,FRI,13,14,CS1045,2005,G2
40,CS4242,FRI,10,11,FG042,2005,G1
41,CS4242,THU,17,18,FG042,2005,G2
42,MA4004,FRI,12,13,CSG003,2005,ALL
43,MA4004,TUE,11,12,SR3007,2005,ALL
44,MA4004,WED,17,18,SR3008,2005,ALL
45,MA4004,FRI,9,10,SR3007,2005,G1
46,MA4004,FRI,14,15,CSG028,2005,G2
47,CS4168,MON,12,13,CSG002,3002,ALL
48,CS4168,MON,13,14,CSG002,3002,ALL
49,CS4168,TUE,16,17,CS2045,3002,G1
50,CS4168,TUE,9,10,CS3005B,3002,G2
51,CS4168,MON,17,18,CSG026,3002,G1
52,CS4168,MON,11,12,CSG003,3002,G2
53,CS4187,THU,13,14,FG043,3003,ALL
54,CS4187,MON,13,14,CSG027,3003,ALL
55,CS4187,THU,17,18,KBG14,3003,G1
56,CS4187,MON,15,16,SR3007,3003,G2
57,CS4136,TUE,13,14,CSG027,3007,ALL
58,CS4136,TUE,16,17,CSG025,3007,ALL
59,CS4136,MON,16,17,CSG027,3007,G1
60,CS4136,WED,15,16,CSG027,3007,G2
61,CS4815,THU,17,18,CSG025,2001,ALL
62,CS4815,TUE,13,14,SR3007,2001,ALL
63,CS4815,MON,10,11,CS3005B,2001,G1
64,CS4815,FRI,17,18,CS1044,2001,G2
65,CS4815,TUE,12,13,CSG025,2001,G1
66,CS4815,MON,13,14,CSG028,2001,G2
67,MS4613,TUE,11,12,CSG025,3001,ALL
68,MS4613,WED,17,18,CSG025,3001,ALL
69,MS4613,WED,15,16,CSG028,3001,ALL
70,MS4613,WED,9,10,KBG14,3001,G1
71,MS4613,FRI,9,10,KBG13,3001,G2
72,CS6361,THU,10,11,KBG14,2009,ALL
73,CS6361,THU,15,16,CSG003,2009,ALL
74,CS6361,TUE,13,14,KBG13,2009,G1
75,CS6361,TUE,14,15,FG043,2009,G2
76,MS4022,FRI,16,17,FG042,2007,ALL
77,MS4022,TUE,9,10,SR3008,2007,ALL
78,MS4022,THU,9,10,CSG026,2007,ALL
79,MS4022,WED,12,13,CSG026,2007,G1
80,MS4022,TUE,11,12,CSG027,2007,G2
81,CS4469,FRI,16,17,FG043,3006,ALL
82,CS4469,THU,16,17,CSG029,3006,G1
83,CS4469,THU,14,15,FG043,3006,G1
84,CS4469,WED,13,14,KBG13,3006,G1
85,CS4469,MON,14,15,KBG13,3006,G2
86,CS4469,FRI,11,12,SR3008,3006,G2
87,CS4469,TUE,12,13,KBG14,3006,G2
88,MS4122,FRI,17,18,KBG13,2006,ALL
89,MS4122,TUE,16,17,KBG13,2006,ALL
90,MS4122,THU,15,16,SR3007,2006,ALL
91,MS4122,WED,10,11,CSG026,2006,G1
92,MS4122,THU,10,11,CSG027,2006,G2
93,CS4287,WED,9,10,CSG028,3004,ALL
94,CS4287,TUE,9,10,FG042,3004,ALL
95,CS4287,WED,11,12,CS3004A,3004,G1
96,CS4287,THU,16,17,CS1044,3004,G2
97,CS4287,MON,11,12,KBG13,3004,G1
98,CS4287,THU,14,15,CSG001,3004,G2
99,CS4297,WED,13,14,CSG002,2005,ALL
100,CS4297,FRI,11,12,KBG12,2005,ALL
101,CS4297,WED,14,15,CS3005B,2005,G1
102,CS4297,THU,13,14,CS1045,2005,G2
103,CS4297,THU,12,13,CSG002,2005,G1
104,CS4297,WED,10,11,SR3007,2005,G2
105,CS4457,TUE,12,13,CSG029,2003,ALL
106,CS4457,WED,17,18,FG042,2003,ALL
107,CS4457,THU,15,16,CSG001,2003,G1
108,CS4457,FRI,10,11,CSG027,2003,G2
109,MS4021,FRI,15,16,FG042,2008,ALL
110,MS4021,FRI,16,17,CSG001,2008,ALL
111,MS4021,THU,13,14,CSG002,2008,ALL
112,MS4021,FRI,14,15,CSG027,2008,G1
113,MS4021,MON,10,11,SR3008,2008,G2
114,CS4135,THU,15,16,CSG029,3006,ALL
115,CS4135,TUE,14,15,KBG13,3006,ALL
116,CS4135,TUE,17,18,CSG027,3006,G1
117,CS4135,THU,11,12,CSG026,3006,G2
118,CS4013,FRI,14,15,FG042,3001,ALL
119,CS4013,FRI,17,18,CSG028,3001,ALL
120,CS4013,MON,15,16,CS1045,3001,G1
121,CS4013,MON,17,18,CS1045,3001,G2
122,CS4013,TUE,14,15,CSG026,3001,G1
123,CS4013,THU,15,16,KBG12,3001,G2
124,CS4141,WED,11,12,CSG026,2003,ALL
125,CS4141,FRI,11,12,SR3006,2003,ALL
126,CS4141,TUE,11,12,CS2045,2003,G1
127,CS4141,THU,12,13,CS3004A,2003,G2
128,CS4141,FRI,13,14,CSG026,2003,G1
129,CS4141,WED,12,13,KBG13,2003,G2
130,CS4928,WED,12,13,CSG028,3006,ALL
131,CS4928,MON,10,11,SR3007,3006,ALL
132,CS4928,WED,17,18,SR3006,3006,G1
133,CS4928,WED,16,17,SR3007,3006,G2
134,CS4076,FRI,13,14,SR3008,3010,ALL
135,CS4076,THU,12,13,KBG12,3010,ALL
136,CS4076,TUE,9,10,CS3005A,3010,G1
137,CS4076,THU,9,10,CS3004A,3010,G2
138,CS4076,FRI,16,17,SR3007,3010,G1
139,CS4076,WED,13,14,CSG025,3010,G2
140,CS4106,THU,9,10,CSG027,2004,ALL
141,CS4106,MON,17,18,FG043,2004,ALL
142,CS4106,FRI,12,13,CS1044,2004,G1
143,CS4106,WED,14,15,CS3004B,2004,G2
144,CS4106,FRI,15,16,CSG028,2004,G1
145,CS4106,WED,9,10,CSG026,2004,G2
146,CS4115,FRI,10,11,CSG029,3004,ALL
147,CS4115,TUE,14,15,SR3006,3004,ALL
148,CS4115,THU,13,14,CS2044,3004,G1
149,CS4115,MON,9,10,CS2045,3004,G2
150,CS4171,TUE,13,14,CSG002,3006,ALL
151,CS4171,WED,15,16,CSG002,3006,ALL
152,CS4171,FRI,17,18,CS3005A,3006,G1
153,CS4222,FRI,9,10,CSG028,2003,ALL
154,CS4222,WED,13,14,FG043,2003,ALL
155,CS4221,WED,16,17,CSG001,2002,ALL
156,CS4221,FRI,9,10,CSG003,2002,ALL
157,CS4221,WED,17,18,CS3005B,2002,G2
158,MS4303,MON,12,13,CSG029,2005,ALL
159,MS4303,FRI,17,18,SR3007,2005,ALL
160,MS4303,WED,12,13,KBG14,2005,ALL
161,CS4108,TUE,10,11,KBG13,2006,ALL
162,CS4108,WED,14,15,CSG025,2006,ALL
163,CS4938,FRI,13,14,KBG13,2007,ALL
